喻萄1,喻萄2,剪葬,唳雞憮,奢錳,cctv,陛煎蛔,埤跡鼻掏,奢奢羹幫衛撲,奢翕輿鷗,喻檣犒雖衛撲,喬雖,爾寰蛔,綠鼻晝熱衛撲,雖羲嬴翕撫攪,羶模喇奢睡寞,橫萼檜啾檜衛撲,轎籀,嬪я紫
"[127.01726139082461, 37.27629099123613]","[127.01727151577771, 37.276541792632045]",0.027902228,4.584277456,0,5,22,223,0,0,0,0,0,0,0,0,0,團辦1-1,0
"[127.01820083487397, 37.30082413434307]","[127.0179813874053, 37.30100123076535]",0.027650496,2.865285181,0,5,15,0,0,1,0,0,62,0,0,0,3,團辦1-2,0
"[127.00390550730614, 37.272327939513964]","[127.0038645563157, 37.27230982117553]",0.004145966,4.465370899,0,10,15,0,0,0,0,0,77,0,0,0,1,團辦1-3,0
"[127.01868195629037, 37.29864365856573]","[127.01860529315492, 37.29863423733125]",0.006861619,3.011963598,0,5,7,0,0,1,0,1,71,0,1,0,0,團辦1-4,0
"[127.01976540769762, 37.29818504330258]","[127.01987873905784, 37.29819221484697]",0.010056364,3.127605287,0,5,11,0,0,0,0,1,50,0,0,0,2,團辦1-5,0
"[127.00572997201957, 37.300223862838024]","[127.00579281490947, 37.30017677174369]",0.007636544,1.940621957,1,5,14,0,1,0,0,0,39,0,0,0,3,團辦1-6,0
"[127.00617872376044, 37.29659985220217]","[127.00714585274909, 37.296534670324476]",0.085855472,2.259546544,0,5,31,0,0,3,2,0,23,0,0,0,2,團辦1-7,0
"[127.04258402957095, 37.27606722187512]","[127.0425143911472, 37.276063742009256]",0.006173798,6.156276391,0,5,18,0,0,2,0,0,29,0,0,0,2,團辦1-8,0
"[127.04241274640108, 37.27721168606362]","[127.04232913528394, 37.27720862620705]",0.007405682,6.065540827,1,5,5,1,0,2,0,0,50,0,0,0,6,團辦1-9,0
"[127.04165908001814, 37.27906089645006]","[127.04133997078546, 37.27905202565692]",0.028251129,5.880458674,1,0,0,3,0,0,0,0,50,0,0,0,6,團辦1-10,0
"[127.01803038472433, 37.25543316119774]","[127.01809880314703, 37.25541504039994]",0.006381813,6.670493402,1,5,11,0,0,0,0,0,0,0,0,0,1,戮2-1,1
"[127.01218057514309, 37.260737718704675]","[127.012105771181, 37.26076190135697]",0.007145335,5.923480527,0,5,26,0,0,0,2,0,0,0,1,0,0,戮2-2,1
"[127.00560960510305, 37.266848268570776]","[127.00563070713345, 37.26681581278838]",0.00406341,5.09300275,0,5,4,36,0,0,1,0,80,1,0,0,0,戮2-3,1
"[127.00266498400359, 37.27873136181884]","[127.00268601618752, 37.27879835324885]",0.007678024,3.753423749,0,5,18,132,0,1,0,0,45,0,0,0,0,餉2-4,1
